,question,text
467,Who motivated Beyonce to explore other areas of music?,Etta James
468,What movie influenced Beyonce towards empowerment themes? ,Dreamgirls
469,How did Etta James influence her?,boldness
470,Where did she perform wearing Baker's hula skirt?,2006 Fashion Rocks concert
471,What singer inspired Beyoncé's B'Day album?,Josephine Baker.
472,What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,Déjà Vu
473,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",Michelle Obama
474,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,February 2013
475,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",Oprah Winfrey
476,Who personally influences Beyonce?,Michelle Obama
477,Hoe does she describe Oprah Winfrey?,a strong woman
478,How does she describe Jean- Michel Basquiat?,lyrical and raw
479,How does Madonna influence her?,to take control of her own career
480,How does she describe Jay Z?,continuing inspiration
481,"Who inspires Beyoncé because ""she does it all?""",First Lady Michelle Obama
482,Who does Beyoncé describe as the definition of inspiration?,Oprah Winfrey
483,Who does Beyoncé describe as lyrical and raw?,Jean-Michel Basquiat
484,Who inspired Beyoncé to take control of her career?,Madonna
485,Beyonce had an all-female tour band whose name was what?,Suga Mama
486,Beyonce had singers in the background known by the name as?,The Mamas
487,The Mamas members included which 3 musicians?,"Montina Cooper-Donnell, Crystal Collins and Tiffany Moniqué Riddick"
488,The Mamas first appearance was when?,2006
489,What band did Beyonce introduce in 2006?,Suga Mama
490,What song name does the band Suga Mama  and a song on the B'Day album share?,Suga Mama
491,Where did Suga Mama band make their first appearance?,2006 BET Awards
492,What band supports Beyonce in her tours?,Suga Mama
493,What is the name of Beyoncé's female tour band?,Suga Mama
494,Suga Mama is also a song on which Beyoncé album?,B'Day
495,What are Beyoncé's backup singers called?,The Mamas
496,When did The Mamas make their debut?,the 2006 BET Awards
497,What characteristics has Beyonce received acclaim for?,stage presence and voice
498,Which former president of Def Jam called Beyonce the greatest entertainer alive?,L.A. Reid
499,For what does Beyonce receive praise?,stage presence
500,Who chose her as number one on his list of Best singers/ Dancers?,Jarett Wieselman
501,How has L.A. Reid described her?,greatest entertainer alive
502,How does Alice Jones describe her?,she's almost too good
503,Who has Beyoncé at number one on her Five Best Singer/Dancers?,Jarett Wieselman
504,Who has said that Beyoncé is the best entertainer alive?,L.A. Reid
505,Beyonce self proclaimed alter ego is named what?,Sasha Fierce
506,Her alter ego was born when according to Beyonce?,"making of ""Crazy in Love"""
507,What year did Beyonce do away with Sasha Fierce?,2010
508,Beyonce brought back Sasha Fierce during which event?,Revel Presents: Beyoncé Live
509,How does she describe Sasha?,"too aggressive, too strong"
510,Later what did she say about Sasha?,she would bring her back
511,What is the name of Beyoncé's alter ego?,Sasha Fierce.
512,When did Beyoncé introduce Sasha Fierce?,2008
513,Sasha Fierce was created during the making of what song?,Crazy in Love
514,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,Allure magazine
515,Beyonce's sex appeal is characterized as what?,wide-ranging
516,"Which music journalist described Beyonce as a ""crossover sex symbol?""",Touré
517,Which word spawned from a term used to describe Beyonce in 2006?,Bootylicious
518,Bootylicious was a song from which act that Beyonce performed with?,Destiny's Child
519,Oxford Dictionary added which word from the 2000s dedicated to Beyonce?,Bootylicious
520,What word is often used to describe Beyonce/,Bootylicious
521,When was the term added to the dictionary?,2006
522,"What journalist wrote that Beyoncé was a ""sex symbol""?",Touré
523,"Because of Beyoncé's physical shape, what slang term has been used to describe her?",Bootylicious
524,In what year was the slang term from a title of a Destiny's Child song that is also used to describe Beyoncé put in the dictionary?,2006
525,How does Beyoncé say she likes to dress off-stage?,sexily
526,"in September 2010, what career area did Beyonce start exploring?",modelling
527,Beyonce's first modelling event was at where?,Tom Ford's Spring/Summer 2011 fashion show
528,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",People
529,Which month and year did GQ feature Beyonce on its cover?,January 2013
530,What TV network listed Beyonce as number 1 on its 100 Sexiest Artists list?,VH1
531,Who called Beyonce the World's most Beautiful Woman?,People
532,Who called her Hottest Female Singer of all Time?,Complex
533,When did she appear on the cover of GQ?,2013
534,VH1 listed her at what number on their 100 Sexiest Artists list?,number 1
535,What year did Beyoncé first model for Tom Ford?,2010
536,"What magazine said Beyoncé was the ""World's Most Beautiful Woman""?",People
537,What title did Complex award Beyoncé?,Hottest Female Singer of All Time
538,What museum has made several models of Beyoncé in wax?,Madame Tussauds Wax Museums
539,Which parent of Beyonce's help co-write a book?,Her mother
540,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,Tyra Banks
541,What was the title of Beyonce's mother's book?,Destiny's Style
542,When was she on the Sports Illustrated cover?,2007
543,Who was she the second  African American on the cover after?,Tyra Banks
544,"Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?",Tyra Banks
545,"What magazine said Beyoncé was the ""best-dressed celebrity""?",People
546,Beyonce has a fan base that is referred to as what?,The Bey Hive
547,"Before the Bey Hive, fans of Beyonce were called what?",The Beyontourage
548,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,Twitter
549,What is Beyonce's fan base called?,Bey Hive
550,What did the fans used to be called?,Beyontourage
551,What is the latest term used to describe Beyoncé fans?,Bey Hive
552,What was the former word given to Beyoncé fans?,Beyontourage
553,"What word does ""Bey Hive"" derive from?",beehive
554,Beyonce has a clothing line known as what?,House of Deréon
555,Which French magazine did Beyonce show up on the cover of?,L'Officiel
556,Beyonce was seen wearing what on the french magazine that caused controversy?,blackface and tribal makeup
557,Which year did PETA spark controversy with Beyonce?,2006
558,What did PETA criticize Beyonce for in 2006?,for wearing and using fur
559,What French Magazine cover did the media criticize?,L'Officiel
560,How was she dressed on the cover of L'Officiel?,in blackface and tribal makeup
561,What French magazine did Beyoncé appear in wearing blackface and tribal makeup?,L'Officiel
562,What clothing line of Beyoncé drew PETA criticism?,House of Deréon.
563,What type of magazine is L'Officiel?,French fashion magazine
564,Which racial community gave criticism to Beyonce?,African-American
565,Which professor from Northeastern University wrote about how race correlates with these criticisms of Beyonce?,Emmett Price
566,Which company was accused of coloring Beyonce's hair?,L'Oréal
567,What did Vogue request?,natural pictures be used
568,How did L'Oreal respond to accusations of changing pictures?,it is categorically untrue
569,"In addition to her light skin color, what else has made part of the African American community criticize Beyoncé?",costuming
570,"In 2007, which music professor said he believes this criticism does involve race as well?",Emmett Price
571,Who was accused of lightening Beyoncé's skin for an advertisement?,L'Oréal
572,What advertisement was Beyoncé's skin supposedly lightened in?,Feria hair color advertisements
573,Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?,H&M
574,Artist of the Decade was bestowed upon Beyonce from which magazine?,The Guardian
575,Whats the first year that Beyonce appear on the Time 100 list?,2013
576,Beyonce than appeared again on the Time 100 list in what year?,2014
577,What did the Guardian name her?,Artist of the Decade
578,When did Beyonce first make the Time 100 List?,2013
579,When was she again on the Time 100 List and on the cover?,2014
580,Who said that she is the reigning national voice?,Baz Luhrmann
581,Who stated that Beyoncé is the most important musician of the 21st century?,Jody Rosen
582,Which publication named Beyoncé the Artist of the Decade?,The Guardian
583,What list did Beyoncé make in 2013?,Time 100 list
584,Who said Beyoncé is the heir-apparent diva of the United States?,Baz Luhrmann
585,What year was Beyoncé featured both on the Time 100 list as well as the cover of the issue?,2014
586,Which rock band cited Beyonce on their third album?,White Rabbits
587,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",Gwyneth Paltrow
588,Nicky Minaj became a spokesperson for which brand of soda after seeing Beyonce involved with it?,Pepsi
589,What influenced Nicki Minaj to join the Pepsi global campaign?,Beyoncé's Pepsi commercial
590,Which band listed Beyonce as an inspiration on their latest album?,White Rabbits
591,What about Beyonce has influenced many entertainers?,work
592,For what film was Paltrow studying Beyonce ?,Country Strong
593,Which Indie band said Beyoncé was an inspiration for one of hteir albums?,White Rabbits
594,What was the name of the White Rabbits' album?,Milk Famous
595,Who studied Beyoncé during live concerts for research for a film's music role?,Gwyneth Paltrow
596,What was the name of the film that Gwyneth Paltrow starred in as a musician?,Country Strong.
597,Beyoncé's Pepsi commercial inspired which star to join Pepsi's global campaign in 2012?,Nicki Minaj
598,"VH1 declared what song the ""Greatest song of the 2000s?""",Crazy in Love
599,"How many Grammy awards did ""Crazy in Love"" win?",two
600,How many did Crazy in Love sell to become one of the greatest selling singles in history?,8 million
601,What type of organism was named after Beyonce in 2012?,fly
602,A place for Beyonce in the Rock and Roll Hall of fame was awarded when?,July 2014
603,Which of Beyonce's songs was called Greatest Song of the 2000s?,Crazy in Love
604,How many Grammy awards did Crazy in Love get?,earned two Grammy Awards
605,How many copies did Crazy in Love sell?,around 8 million copies
606,Who released the single Girls Love Beyonce?,Drake
607,Which publication considers Crazy in Love to be one of the top 500 songs of all time?,Rolling Stone
608,"Who sang ""Girls Love Beyoncé"" in 2013?",Drake
609,What did Bryan Lessard name after Beyoncé?,a species of horse fly
610,How many copies of her albums as Beyonce sold in the US?,15 million
611,"Totaling worldwide, how many records as Beyonce sold?",118 million
612,How many certifications was Beyonce awarded by the RIAA?,64
613,"When Beyonce was with Destiny's Child, how many albums did she manage to sell?",60 million
614,Who was the first female to achieve the International Artist Award at the American Music Awards?,Beyoncé
615,How many albums has Beyonce as a solo artist sold in the U.S?,15 million
616,How many has she sold worldwide?,118 million
617,How many records has she sold with Destiny's Child?,60 million
618,When did she receive the Legend Award?,2008 World Music Awards
619,How many music certifications has she received in the 2000s?,64 certifications
620,How many records has Beyoncé sold in the United States?,over 15 million
621,How many records has Beyoncé sold throughout the world?,over 118 million
622,Who cited Beyoncé as being the top certified artist of the 2000s?,The Recording Industry Association of America
623,How many certifications did RIAA give Beyoncé?,64
624,When did Beyoncé receive the Legend Award?,the 2008 World Music Awards
625,How many Grammys has Beyonce won total with and without Destiny's Child?,20
626,Who is the only other woman with more Grammy awards than Beyonce?,Alison Krauss
627,Beyonce has been awarded how many Grammy nominations?,52
628,Beyonce holds the record for how many wins in one night by a female?,six
629,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,two
630,How many Grammies has Beyonce won?,20 Grammy Awards
631,How many Grammy nominations does Beyonce have?,52 nominations
632,When did she set the record for most Grammy awards won in one night?,2010
633,Who tied her record for most Grammies won in one night in 2012?,Adele
634,How many Grammys has Beyoncé won?,20
635,How many Grammy nominations has Beyoncé had?,52
636,What Beyoncé song was song of the year on 2010?,"""Single Ladies (Put a Ring on It)"""
637,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,Dreamgirls
638,Which soda company has Beyonce partnered with since 2002?,Pepsi
639,Pepsi paid Beyonce how much in 2012 for her endorsement?,50 million
640,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,The Center for Science in the Public Interest (CSPINET)
641,What percentage of people were positive about Beyonce's endorsement of Pepsi?,70
642,When did Beyonce begin doing Pepsi advetisments?,2002
643,Who was in the commercial with Beyonce in 2004?,"Britney Spears, Pink, and Enrique Iglesias"
644,What did she agree to do for 50 million dollars in 2012?,endorse Pepsi
645,Who sent her a letter asking that she reconsider the Pepsi deal?,Center for Science in the Public Interest
646,What soft drink company has Beyoncé worked with since 2002?,Pepsi
647,How much did Beyoncé get for a deal with a soft drink company in 2012?,$50 million
648,Who asked her to change her mind about the soft drink deal due to the nature of the product?,The Center for Science in the Public Interest (CSPINET)
649,What organization discovered that the advertisements Beyoncé did for the soft drink company were 70% positive?,NetBase
650,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",Tommy Hilfiger
651,The world's best selling celebrity perfume line belongs to whom?,Beyoncé
652,Beyonce's first fragrance had what name?,Heat
653,The Mrs. Carter Show Limited Edition was released in what year?,2013
654,How much money did The Mrs. Carter Show Limited Edition fragrance make?,400 million
655,What was Beyonce's 2010  perfume called?,Heat
656,"When was her second perfume, Heat Rush, released?",2011
657,What was Beyonce's third perfume named?,Pulse
658,How many editions of Heat have been launched?,six editions
659,Which Emporio Armani fragrance did Beyoncé promote in 2007?,Diamonds
660,What year did Beyoncé introduce her first fragrance?,2010
661,What was Beyoncé's first fragrance called?,Heat
662,How many editions of Heat exist?,six
663,How young was Beyonce when she acquired deals from American Express and L'Oreal?,18
664,What was the name of the video game that was cancelled for Beyonce?,Starpower: Beyoncé
665,When did Beyonce begin her deals with name brands?,since the age of 18
666,How many people lost jobs when Beyonce left the video game deal?,70 staff
667,How was the suit settled?,out of court
668,What was the name of the video game?,Starpower: Beyoncé
669,What video game did Beyoncé back out of?,Starpower: Beyoncé
670,What company was producing the video game?,GateFive
671,How many people lost their jobs over Beyoncé backing out of the deal?,70
672,When was the disagreement settled out of court?,June 2013
673,Who did Bayonce's management go into business with in 2014?,fashion retailer Topshop
674,"After their agreement together, Beyonce's and Topshop"" new business was called what?",Parkwood Topshop Athletic Ltd
675,What type of clothing does Parkwood Topshop Athletic Ltd produce?,activewear
676,The company and products were set to be in stores when?,fall of 2015
677,Who did Beyonce partner with in London?,Topshop
678,When will the new line launch?,2015
679,What is the name of Beyoncé's management company?,Parkwood Entertainment
680,Who did Beyoncé and Parkwood Entertainment partner with in October 2014?,Topshop
681,Where is Topshop located?,London
682,What was the new division of Topshop because of the partnership?,activewear
683,"When was it discovered Beyonce was a co-owner of the music service, Tidal?","March 30, 2015"
684,The parent company of Tidal became under the ownership of whom in 2015?,Jay Z
685,When was it announced that Beyonce was  a co-owner in Tidal?,"March 30, 2015"
686,What kind of service is Tidal?,music streaming service
687,What is a criticism of other streaming services?,low payout of royalties
688,What music streaming system is Beyoncé part owner of?,Tidal.
689,What is the parent company of the music service Beyoncé owns part of?,Aspiro
690,Who acquired the parent company of the music service Beyoncé owns part of?,Jay Z
691,What music service is accused of providing low royalty amounts?,Spotify
692,House of Dereon became known through Beyonce and which of Beyonce's relatives?,her mother
693,Beyonce's grandma's name was?,Agnèz Deréon
694,Beyonce's family's company name is what?,Beyond Productions
695,What types of garments are sold by Beyonce's clothing line?,"sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear"
696,Which two countries can you purchase Beyonce's clothing line?,US and Canada
697,"Who partnered with Beyonce to start the clothing line, Dereon?",her mother
698,When did Beyonce and her mother start Dereon?,2005
699,Who was the business named for in Beyonce's family?,"grandmother, Agnèz Deréon"
700,Where were items from the clothing line displayed?,in Destiny's Child's shows and tours
701,Who shares in the House of Deréon fashion line introduction with Beyoncé?,her mother
702,What is the name of the House of Deréon junior collection?,Deréon.
703,What type of accessory company did Beyonce partner with in 2005?,shoe
704,"In 2010, Beyonce released Dereon to what country?",Brazil
705,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,2009
706,What did Beyonce's Fashion Diva  feature?,House of Deréon collection
707,What new idea did Beyonce and her mother launch in 2009?,Sasha Fierce for Deréon
708,When did Beyonce partner with C&A to sell fashion in Brazil?,"May 27, 2010"
709,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,House of Brands
710,What was the name of the game put out by Starwave Mobile in 2008 that featured Beyoncé fashions?,Beyoncé Fashion Diva
711,What was the name of the junior fashions launched in 2009 by Beyoncé and her mother?,Sasha Fierce for Deréon
712,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,C&A
713,Sasha Fierce for Deréon fashions were sold at stores that included Macy's and what other store?,Dillard's
714,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",Topshop
715,Beyonce and Topshops first products were to be sold in stores when?,autumn 2015
716,What is the new business called?,Parkwood Topshop Athletic Ltd
717,What is Beyonce's percentage of ownership in the new venture?,50
718,When will the full line appear?,April 2016
719,What company did Beyoncé contract with to sell clothing in England?,Topshop
720,What is the name of the equal partnership's fashion line between Beyoncé and the British company to come out in 2016?,Parkwood Topshop Athletic Ltd
721,What type of clothing does the British partnership with Beyoncé sell?,activewear
722,What national disaster caused Beyonce to create the Survivor Foundation?,Hurricane Katrina
723,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","2,50,000"
724,What hurricane years later after Katrina did the organization provide support for?,Ike
725,What did Beyonce and Rowland found in 2005?,the Survivor Foundation
726,How much did Beyonce initially contribute to the foundation?,"$ 2,50,000.00"
727,How has this foundation changed in recent years?,expanded to work with other charities
728,What foundation did Beyoncé start after Hurricane Katrina?,Survivor Foundation
729,How much money did Beyoncé contribute at the beginning of her Hurricane Katrina foundation?,"$ 2,50,000.00"
730,What other hurricane did Beyoncé's foundation help with?,Hurricane Ike
731,Who did Beyonce participate with in the Hope for Haiti Now: A Global Benefit?,George Clooney and Wyclef Jean
732,Beyonce opened a cosmetology center in what location?,Brooklyn Phoenix House
733,"After Osama Bin Laden's death, what single did Beyonce cover?",God Bless the USA
734,How much did the T-shirt with Beyonce's image on it make? ,$1 million
735,"What enterprise did Beyonce and her mother start on March 5, 2010?",Beyoncé Cosmetology Center at the Brooklyn Phoenix House
736,"What charity benefited from  the release of the song, God Bless the USA?",New York Police and Fire Widows' and Children's Benefit Fund
737,What did she participate in with George Clooney?,Hope for Haiti Now: A Global Benefit
738,Which two stars did Beyoncé help with their Haiti Earthquake organization?,George Clooney and Wyclef Jean
739,What did Beyoncé open at the Brooklyn Phoenix House in 2010?,Beyoncé Cosmetology Center
740,What Lee Greenwood song did Beyoncé cover after Osama bin Laden was killed?,God Bless the USA
741,"Which national event caused Beyonce to produce ""Demand a Plan?""",Sandy Hook Elementary School shooting
742,What song did Beyonce contribute to the campaign?,I Was Here
743,Beyonce is contributing to which food-donation campaign?,Miss a Meal
744,"On June 1 , 2013 where was the concert held for ""a Chime for Change""?",London
745,"Beyonce was speaking about whom when she said her gift was ""finding the best qualities in every human being.""?",her mother
746,The Demand a Plan video campaign followed what tragic event?,Sandy Hook Elementary School shooting.
747,What was the focus of the Gucci Chime for Change campaign?,spread female empowerment
748,What crowdfunding platform was used in the concert?,Catapult
749,What is the name of the campaign that Beyoncé and others are involved in that deals with gun control?,Demand A Plan
750,What school shooting prompted the creation of Demand A Plan?,Sandy Hook Elementary School
751,What song did Beyoncé donate to the 2012 World Humanitarian Day campaign?,I Was Here
752,Who did Beyoncé work with in 2013 on the Chime for Change campaign?,Salma Hayek and Frida Giannini
753,What was Frédéric's nationalities?,Polish and French
754,In what era was Frédéric active in?,Romantic era
755,For what instrument did Frédéric write primarily for?,solo piano
756,In what area was Frédéric born in?,Duchy of Warsaw
757,At what age did Frédéric depart from Poland?,20
758,What year was Chopin born?,1810
759,What era was Chopin active during?,Romantic era
760,Where did Chopin grow up?,Warsaw
761,What instrument did he mostly compose for?,solo piano
762,At what age did Chopin  leave Poland?,20
763,When did Chopin die?,17 October 1849
764,What was Chopin's full name?,Fryderyk Franciszek Chopin
765,The majority of Chopin's compositions were for what instrument?,solo piano
766,Chopin was active during what era?,Romantic era
767,In what year was Chopin born?,1810
768,In what city was Chopin born and raised?,Warsaw
769,How old was Chopin when he left Poland?,20
770,In what era of music did Chopin compose?,Romantic
771,What year did Chopin die?,1849
772,At what age did Frédéric move to Paris?,21
773,How many public performances was Frédéric estimated to have given during the remainder of his life?,30
774,In what year did Frédéric obtain citizenship in France?,1835
775,In what area had Frédéric's most productive period of composition taken place?,Majorca
776,What was Frédéric's most likely cause of death?,tuberculosis
777,Where did he end up living when he was 21?,Paris
778,How many public shows did he perform during the last years of his life?,30
779,What other composer did Chopin develop a friendship with?,Franz Liszt
780,What year did he gain citizenship in France?,1835
781,What is the name of the woman he had a relationship with from 1837-847?,Maria Wodzińska
782,At what age did Chopin move to Paris?,21
783,During the last 18 years he lived about how many times did Chopin perform in public?,30
784,What year did Chopin become a citizen of France?,1835
785,In the last years of his life who was the person that supported him financially?,Jane Stirling
786,In what year did Chopin become a French citizen?,1835
787,Who gave Chopin money in the last years of his life?,Jane Stirling
788,What was the likely cause of death for Chopin?,tuberculosis
789,What instrument did every composition by Frédéric include?,piano
790,What concept was Frédéric credited with creating?,instrumental ballade
791,Whose music did Frédéric admire the most and thus provide influence on his work?,"J. S. Bach, Mozart and Schubert"
792,What features marked Frédéric's performance style and made them unique?,nuance and sensitivity
793,What establishments did Frédéric frequently visit in Paris that influenced his career?,Paris salons
794,Which instrument do every one of his compositions include?,piano
795,What concept did Chopin create?,instrumental ballade
796,What are two things Chopin's performances were known for?,nuance and sensitivity
797,What three composers influenced Chopin's work?,"J. S. Bach, Mozart and Schubert"
798,"Chopin wrote some music to lyrics, what language were the lyrics?",Polish
799,What instrument is involved in all of Chopin's work?,piano
